id;course;module;instance;section;idnumber;added;score;indent;visible;visibleoncoursepage;visibleold;groupmode;groupingid;completion;completiongradeitemnumber;completionview;completionexpected;showdescription;availability;deletioninprogress
338;5;1;66;41;;1569402516;0;1;1;1;1;0;0;1;;0;0;0;;0
339;5;1;67;41;;1569402701;0;1;1;1;1;0;0;1;;0;0;0;;0
340;5;1;68;41;;1569402944;0;1;1;1;1;0;0;1;;0;0;0;;0
341;5;1;69;41;;1569403205;0;1;1;1;1;0;0;1;;0;0;0;;0
342;5;1;70;41;;1569403818;0;1;1;1;1;0;0;1;;0;0;0;;0
351;5;1;71;42;;1569319642;0;0;1;1;1;0;0;2;;1;0;0;;0
321;5;16;120;40;;1573135220;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
323;5;16;122;40;;1573136387;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
324;5;16;123;40;;1573566181;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
325;5;16;124;40;;1573566685;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
326;5;16;125;40;;1573652738;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
327;5;16;126;40;;1573653529;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
328;5;16;127;40;;1573654449;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
329;5;16;128;40;;1573654855;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
358;5;12;38;46;;1569958693;0;0;1;1;1;0;0;1;;0;0;1;;0
359;5;12;39;46;;1569958735;0;0;1;1;1;0;0;1;;0;0;1;;0
455;5;17;26;43;;1599816440;0;0;1;1;1;0;0;2;;1;0;0;;0
357;5;12;37;46;;1569958660;0;0;1;1;1;0;0;1;;0;0;1;;0
457;5;17;28;43;;1599816572;0;0;1;1;1;0;0;2;;1;0;0;;0
352;5;1;72;42;;1569336540;0;0;1;1;1;0;0;2;;1;0;0;;0
259;5;16;77;38;;1570012475;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
353;5;1;73;42;;1569404150;0;0;1;1;1;0;0;2;;1;0;0;;0
482;5;29;22;38;;1601452854;0;0;1;1;1;0;0;1;;0;0;1;;0
260;5;16;78;38;;1570013653;0;1;1;1;1;2;0;2;0.0;1;0;0;;0
356;5;12;36;46;;1569958630;0;0;1;1;1;0;0;1;;0;0;1;;0
261;5;16;79;38;;1570013814;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
262;5;16;80;38;;1570013868;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
263;5;16;81;38;;1570013917;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
458;5;29;15;39;;1600065860;0;0;1;1;1;0;0;1;;0;0;1;;0
459;5;29;16;40;;1600065910;0;0;1;1;1;0;0;1;;0;0;1;;0
460;5;29;17;41;;1600065958;0;0;1;1;1;0;0;1;;0;0;1;;0
490;5;15;41;43;;1601454240;0;0;1;1;1;0;0;2;;1;0;0;;0
487;5;12;66;40;;1601453109;0;0;1;1;1;0;0;1;;0;0;1;;0
491;5;15;42;43;;1601454344;0;0;1;1;1;0;0;2;;1;0;0;;0
485;5;12;65;39;;1601453017;0;0;1;1;1;0;0;1;;0;0;1;;0
281;5;15;13;39;;1569584707;0;0;1;1;1;0;0;2;;1;0;0;;0
492;5;15;43;43;;1601454899;0;0;1;1;1;0;0;2;;1;0;0;;0
483;5;12;64;38;;1601452935;0;0;1;1;1;0;0;1;;0;0;1;;0
290;5;16;99;39;;1570518353;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
473;5;29;18;38;;1601452162;0;0;1;1;1;0;0;1;;0;0;1;;0
478;5;29;20;40;;1601452671;0;0;1;1;1;0;0;1;;0;0;1;;0
489;5;12;67;41;;1601453162;0;0;1;1;1;0;0;1;;0;0;1;;0
291;5;16;100;39;;1570519652;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
496;5;29;26;39;;1601459631;0;0;1;1;1;0;0;1;;0;0;1;;0
292;5;16;101;39;;1570521170;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
293;5;16;102;39;;1570522092;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
470;5;30;1;37;;1601386083;0;0;1;1;1;0;0;1;;0;0;0;;0
497;5;29;27;38;;1601459679;0;0;1;1;1;0;0;1;;0;0;1;;0
264;5;16;82;38;;1570013984;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
498;5;29;28;40;;1601459719;0;0;1;1;1;0;0;1;;0;0;1;;0
270;5;16;88;38;;1570014704;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
499;5;29;29;41;;1601459749;0;0;1;1;1;0;0;1;;0;0;1;;0
308;5;16;117;39;;1570689848;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
477;5;17;33;39;;1601452646;0;1;1;1;1;0;0;2;;1;0;0;;0
479;5;17;34;40;;1601452707;0;1;1;1;1;0;0;2;;1;0;0;;0
481;5;17;35;41;;1601452772;0;1;1;1;1;0;0;2;;1;0;0;;0
320;5;16;119;40;;1573133832;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
271;5;16;89;38;;1570014803;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
272;5;16;90;38;;1571294289;0;1;1;1;1;0;0;2;0.0;1;0;1;;0
273;5;16;91;38;;1570014954;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
274;5;16;92;38;;1570015052;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
275;5;16;93;38;;1570015134;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
276;5;16;94;38;;1570015227;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
277;5;16;95;38;;1570015293;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
278;5;16;96;38;;1570015423;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
279;5;16;97;38;;1570015499;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
280;5;16;98;38;;1570015599;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
322;5;16;121;40;;1573135775;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
330;5;16;129;40;;1573655891;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
333;5;16;132;40;;1573657476;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
335;5;16;134;40;;1573658260;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
336;5;16;135;40;;1573719299;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
344;5;16;136;41;;1574684773;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
345;5;16;137;41;;1574685462;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
346;5;16;138;41;;1574685978;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
347;5;16;139;41;;1574759045;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
349;5;16;141;41;;1574760748;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
350;5;16;142;41;;1574761500;0;1;1;1;1;0;0;2;0.0;1;0;0;;0
